Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT
281,High Point,BSth,15-Sep,-9.31,96.9,106.2,66.4
282,Columbia,Ivy,0-0,-9.39,95.4,104.8,69.1
283,North Alabama,ASun,13-11,-9.43,94.9,104.4,70.9
284,Quinnipiac,MAAC,13-Sep,-9.47,90.2,99.7,72.3
285,North Carolina A&T,MEAC,10-Nov,-9.49,96.1,105.6,70.9
286,New Orleans,Slnd,15-Oct,-9.57,97.8,107.3,72.7
287,Coppin St.,MEAC,13-Sep,-9.66,91.6,101.2,77.1
288,Florida Gulf Coast,ASun,8-Oct,-9.76,93.8,103.6,70.9
289,New Mexico,MWC,16-Jun,-9.9,92.4,102.3,68.1
290,Fairleigh Dickinson,NEC,15-Sep,-9.93,101.8,111.7,71
291,St. Francis NY,NEC,10-Sep,-9.96,102,111.9,72.8
292,UT Rio Grande Valley,WAC,10-Sep,-9.98,92.1,102,69.9
